"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng","tweet_text","tweet_language","tweet_source","tweet_user","tweet_country","tweet_place","tweet_hashtag","tweet_followers_count","tweet_friends_count","tweet_urls_expanded_url","tweet_place_url","tweet_created_at","latitude","longitude","SEARCHSTRING","DATEOFENQUIRY"
"x408062108","x1236064088813256704",2020-03-06 23:00:18,"kylanaajua","Uzi went crazy .","Twitter for iPhone",16,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/kylanaajua/status/1236064088813256704","Ky","Dmv ","1220🕊/0107🦋 instagram: @kylanaajua Certified Lash Tech Dm for booking.",,FALSE,8663,2023,58,30869,12935,2011-11-08 22:48:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/408062108/1580939740","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1229828785798860800/OecG-sPO_normal.jpg",39.284713,-76.62048175,"Uzi went crazy .","en","Twitter for iPhone","Ky","US","Baltimore, MD",,8663,2023,"https://twitter.com/kylanaajua/status/1236064088813256704","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 23:00:18,39.284713,-76.62048175,"baltimore","2020-03-07"
"x3383286719","x1236063897339166721",2020-03-06 22:59:32,"4thlxrd","yo shaq is a fool yo 😹😹 https://t.co/1BFnBra4o6","Twitter for iPhone",23,,,,TRUE,FALSE,0,0,,,,,"twitter.com/complexsports/…","https://t.co/1BFnBra4o6","https://twitter.com/complexsports/status/1235951421188694018",,,,,,,,,,,"en","x1235951421188694018","“You know what I smash? Trix.”

Shaq’s reaction is classic. HBD 😂 https://t.co/9CXzshMKr6",2020-03-06 15:32:36,"Twitter for iPhone",36578,9236,"x262715431","ComplexSports","Complex Sports",277432,2049,85628,"","Never not ballin’.",TRUE,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/4thlxrd/status/1236063897339166721","jacobjacobjacob","Norfolk, VA","MSUTF 💙🧡",,FALSE,1286,1061,0,9017,6645,2015-07-19 16:44:46,FALSE,,,,"https://pbs.twimg.com/profile_banners/3383286719/1563042797","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1196608570827190274/TNvDYtWU_normal.jpg",39.284713,-76.62048175,"yo shaq is a fool yo 😹😹 https://t.co/1BFnBra4o6","en","Twitter for iPhone","jacobjacobjacob","US","Baltimore, MD",,1286,1061,"https://twitter.com/4thlxrd/status/1236063897339166721","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:59:32,39.284713,-76.62048175,"baltimore","2020-03-07"
"x14216617","x1236063829529894913",2020-03-06 22:59:16,"benjancewicz","4 Months with Her. 💕 https://t.co/AjEacNEFR9","Twitter for iPhone",20,,,,FALSE,FALSE,7,0,,,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1236063745308332033/pu/img/3YthumJ9YWdJ0iia.jpg","https://t.co/AjEacNEFR9","https://twitter.com/benjancewicz/status/1236063829529894913/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1236063745308332033/pu/img/3YthumJ9YWdJ0iia.jpg","https://t.co/AjEacNEFR9","https://twitter.com/benjancewicz/status/1236063829529894913/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/benjancewicz/status/1236063829529894913","Benjamin Young Savage (ᐱᓐᒋᐱᓐ)","Baltimore, MD","Independent Abolitionist • Graphic/Artist •  Raised Native/Interracial Family/MK • 🧔🏻👧🏽👦🏽 • 💕@bloomingdiary • 👨🏻‍💻@Zerflin • 🇺🇸🇨🇦 • 🇵🇱🇮🇪","https://t.co/6UQ6ElTiUZ",FALSE,17531,4759,406,236650,170930,2008-03-25 16:20:19,FALSE,"https://t.co/6UQ6ElTiUZ","http://benjancewicz.com",,"https://pbs.twimg.com/profile_banners/14216617/1566935497","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1184922985771229184/4LNHBaZ0_normal.jpg",39.284713,-76.62048175,"4 Months with Her. 💕 https://t.co/AjEacNEFR9","en","Twitter for iPhone","Benjamin Young Savage (ᐱᓐᒋᐱᓐ)","US","Baltimore, MD",,17531,4759,"https://twitter.com/benjancewicz/status/1236063829529894913","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:59:16,39.284713,-76.62048175,"baltimore","2020-03-07"
"x164877409","x1236063809825124355",2020-03-06 22:59:11,"DRO_OUTLAW","@CashApp $Damanteoutlaw :)","Twitter for iPhone",17,"x1235958979244810240","x1445650784","CashApp",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1445650784","CashApp","tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/DRO_OUTLAW/status/1236063809825124355","DRO🎃","Maryland, USA","VÎBËŠ❗️","https://t.co/dakdy5hwno",FALSE,3706,2808,25,292234,41074,2010-07-10 00:30:42,FALSE,"https://t.co/dakdy5hwno","http://outlaw-shitt.tumblr.com",,"https://pbs.twimg.com/profile_banners/164877409/1580436641","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1233245369892581376/epKxaC6B_normal.jpg",39.284713,-76.62048175,"@CashApp $Damanteoutlaw :)","tl","Twitter for iPhone","DRO🎃","US","Baltimore, MD",,3706,2808,"https://twitter.com/DRO_OUTLAW/status/1236063809825124355","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:59:11,39.284713,-76.62048175,"baltimore","2020-03-07"
"x74011448","x1236063792334811136",2020-03-06 22:59:07,"jcp515","Pretty sure 45 isn't going to be happy with Dr. Fauci's advice to the at risk elderly to social distance.","Twitter for Android",105,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/808665307aa255fe.json","Dundalk","Dundalk, MD","city","United States","US","NA NA","NA NA","-76.529818 -76.447351 -76.447351 -76.529818 39.2227017 39.2227017 39.306282 39.306282","https://twitter.com/jcp515/status/1236063792334811136","southpaw","Baltimore, MD","#resist 
Waiting patiently for the perp walks.",,FALSE,687,2728,2,16002,65574,2009-09-14 00:20:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/74011448/1497049259","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/960617538244706306/4FZ8q0aH_normal.jpg",39.26449185,-76.4885845,"Pretty sure 45 isn't going to be happy with Dr. Fauci's advice to the at risk elderly to social distance.","en","Twitter for Android","southpaw","US","Dundalk, MD",,687,2728,"https://twitter.com/jcp515/status/1236063792334811136","https://api.twitter.com/1.1/geo/id/808665307aa255fe.json",2020-03-06 22:59:07,39.26449185,-76.4885845,"baltimore","2020-03-07"
"x137781755","x1236063723028086784",2020-03-06 22:58:51,"flightto_chyna","iMessage games 👀","Twitter for iPhone",16,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/flightto_chyna/status/1236063723028086784","Chyn’ 😜","sc: chynawitay","UMES Host 🤘🏾🤘🏾😝 R.I.P Danny The Man Purnell #flyhighfrank #flyhighty 12/30♑️",,FALSE,1751,1576,3,46557,6026,2010-04-27 19:04:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/137781755/1580575144","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1223646956112826368/bWztjmIp_normal.jpg",39.284713,-76.62048175,"iMessage games 👀","en","Twitter for iPhone","Chyn’ 😜","US","Baltimore, MD",,1751,1576,"https://twitter.com/flightto_chyna/status/1236063723028086784","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:58:51,39.284713,-76.62048175,"baltimore","2020-03-07"
"x3045183830","x1236063506673348611",2020-03-06 22:57:59,"BronxBombers46","@amber00827 Yeah, why does the injury keep changing!?!? So frustrating","Twitter for iPhone",58,"x1236037313362264064","x223226565","amber00827",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x223226565","amber00827","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/BronxBombers46/status/1236063506673348611","Lisa","","Yanks Loyalist, Bulls, Duke, GMen, UFC/MMA, Rangers, All around Sports Fanatic. IG-same username DISCLAIMER- I DROP F-BOMBS often. NO DMs unless I “know” you","https://t.co/oE8irTb3ev",FALSE,2809,2890,39,35420,96130,2015-02-27 02:40:01,FALSE,"https://t.co/oE8irTb3ev","http://toplineart.com/Lisa-Schilling_c58.htm",,"https://pbs.twimg.com/profile_banners/3045183830/1563841185","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1228899360039108608/2lFKkBmS_normal.jpg",39.284713,-76.62048175,"@amber00827 Yeah, why does the injury keep changing!?!? So frustrating","en","Twitter for iPhone","Lisa","US","Baltimore, MD",,2809,2890,"https://twitter.com/BronxBombers46/status/1236063506673348611","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:57:59,39.284713,-76.62048175,"baltimore","2020-03-07"
"x1603340642","x1236063391380365312",2020-03-06 22:57:32,"MrsMatthews29","Nope I’m not on social media at all. https://t.co/A4xvlvdDrv","Twitter for iPhone",36,,,,TRUE,FALSE,0,0,,,,,"twitter.com/skinny_que/sta…","https://t.co/A4xvlvdDrv","https://twitter.com/skinny_que/status/1235993780010049536",,,,,,,,,,,"en","x1235993780010049536","Coworker: “you got a twitter?” https://t.co/RS4erVjMax",2020-03-06 18:20:55,"Twitter for iPhone",4484,2545,"x765025271200223232","skinny_que","Mike from Wiscanson",15546,7667,53390,"In my own lane","ΩΨΦ Instagram: skinny_que Backup Account @Wiscansonmike send me your music, YouTube or vlog / ask about making money and I’ll block you",FALSE,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/MrsMatthews29/status/1236063391380365312","ihaveNOIdea","CRMx2 World","Mom of 2, 1 👼🏽Channing Roth —Believer of Faith, Family and Fashion. MPH/Nail Tech/yogi loading #TLOP #DonateLife➖ I talk to God in public. #coloringbook","https://t.co/37U8MsKlse",FALSE,315,1785,4,4988,1679,2013-07-18 12:29:29,FALSE,"https://t.co/37U8MsKlse","https://www.gofundme.com/chans-promise",,"https://pbs.twimg.com/profile_banners/1603340642/1455771213","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1213265459530719234/5Sxq2KZ0_normal.jpg",39.284713,-76.62048175,"Nope I’m not on social media at all. https://t.co/A4xvlvdDrv","en","Twitter for iPhone","ihaveNOIdea","US","Baltimore, MD",,315,1785,"https://twitter.com/MrsMatthews29/status/1236063391380365312","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:57:32,39.284713,-76.62048175,"baltimore","2020-03-07"
"x2856038025","x1236063329631825921",2020-03-06 22:57:17,"Tarletondelvon1","@_efficacy_ Eat!","Twitter for iPhone",4,"x1235988821319311362","x3819706463","_efficacy_",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x3819706463","_efficacy_","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/Tarletondelvon1/status/1236063329631825921","del.von.te","Baltimore, MD","",,FALSE,172,229,0,3878,657,2014-11-02 03:06:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/2856038025/1531677364","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1117312418236047360/5wA_ypV7_normal.jpg",39.284713,-76.62048175,"@_efficacy_ Eat!","und","Twitter for iPhone","del.von.te","US","Baltimore, MD",,172,229,"https://twitter.com/Tarletondelvon1/status/1236063329631825921","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:57:17,39.284713,-76.62048175,"baltimore","2020-03-07"
"x35646496","x1236063267493228551",2020-03-06 22:57:02,"iFredLee","@RonaldMatters Don’t start nothing you can’t finish https://t.co/MfHXcX8d9g","Twitter for iPhone",36,"x1236048937196433414","x26023995","RonaldMatters",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/ESdg_FUWkAADaRd.jpg","https://t.co/MfHXcX8d9g","https://twitter.com/iFredLee/status/1236063267493228551/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/ESdg_FUWkAADaRd.jpg","https://t.co/MfHXcX8d9g","https://twitter.com/iFredLee/status/1236063267493228551/photo/1",,"x26023995","RonaldMatters","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json","Baltimore","Baltimore, MD","city","United States","US","NA NA","NA NA","-76.7115205 -76.529443 -76.529443 -76.7115205 39.197211 39.197211 39.372215 39.372215","https://twitter.com/iFredLee/status/1236063267493228551","SaTiva and Indica’s Proud Uncle 😍","Baltimore, MD","#Pittsburgh - Winning since my dad skeeted in my mom....thank God I wasn't swallowed. #Team. #SteelerNation. 🌈",,FALSE,5452,3967,117,429980,2057,2009-04-27 02:44:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/35646496/1565219166","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1234450504740167680/WZiK-la8_normal.jpg",39.284713,-76.62048175,"@RonaldMatters Don’t start nothing you can’t finish https://t.co/MfHXcX8d9g","en","Twitter for iPhone","SaTiva and Indica’s Proud Uncle 😍","US","Baltimore, MD",,5452,3967,"https://twitter.com/iFredLee/status/1236063267493228551","https://api.twitter.com/1.1/geo/id/c0b8e8dc81930292.json",2020-03-06 22:57:02,39.284713,-76.62048175,"baltimore","2020-03-07"
